lid,fid,location_name,lat,lng
841,1725,FAIRFIELD CA,38.25858,-122.03443
843,1727,FRESNO CA,36.83994,-119.78209
845,1728,SALEM OR,44.93394,-122.98355
847,1731,MANTECA CA,37.79727,-121.19973
849,1732,OLYMPIA WA,47.03517,-122.93699
851,1748,LODI CA,38.11518,-121.28773
853,1755,SEATTLE WA,47.70234,-122.34438
855,1757,MODESTO CA,37.60956,-120.96649
857,1758,VANCOUVER WA,45.59986,-122.50423
859,1759,TACOMA WA,47.24476,-122.52688
861,1762,SAN FRANCISCO CA,37.80772,-122.41273
863,1763,ANCHORAGE AK,61.18157,-149.87497
865,1766,HILLSBORO OR,45.52921,-122.95612
867,1767,DAVIS CA,38.5402,-121.73032
869,1773,BILLINGS MT,45.75572,-108.58539
871,1824,LITTLETON CO,39.61115,-105.08255
873,2000,EASLEY SC,34.82039,-82.58422
875,2008,ARDEN NC,35.45106,-82.5252
877,2011,JANESVILLE WI,42.71809,-88.98068
879,2013,PHENIX CITY AL,32.50153,-85.04905
881,2014,BALDWIN PARK CA,34.06988,-117.9797
883,2021,MENIFEE CA,33.68411,-117.2048
885,2038,LINDENHURST NY,40.69658,-73.38514
887,2062,ELIZABETH CITY NC,36.297568,-76.256893
889,2064,BROOKLYN NY,40.65022,-73.89013
891,2067,YORKTOWN VA,37.16169,-76.46329
893,2069,FAYETTEVILLE NC,35.02906,-79.05873
895,2073,OXON HILL MD,38.804567,-76.98274
897,2077,SPRING VALLEY NY,41.10528,-74.02535
899,2090,MARIETTA GA,33.94662,-84.62147
901,2091,LAPLACE LA,30.07773,-90.50088
903,2102,NEWBURGH NY,41.50351,-74.05724
905,2104,MOHEGAN LAKE NY,41.3228445,-73.8533734
907,2105,LOCUST GROVE GA,33.353516,-84.1165061
909,2110,ATHENS AL,34.784768,-86.941591
911,2120,LANSING IL,41.581424,-87.557108
913,2124,KANSAS CITY KS,39.05637,-94.612124
915,2130,HOLLY SPRINGS NC,35.634905,-78.829974
917,2132,CONEY ISLAND NY,40.575715,-73.978827
919,2133,SAN JOSE CA,37.309658,-122.0133
921,2135,ABERDEEN MD,39.525215,-76.187414
923,2136,ALAMOSA CO,37.471857,-105.886228
925,2141,Muskegon MI,43.154183,-86.20557
927,2145,"St. Louis, MO",38.59334,-90.299601
929,2148,"Columbia, MD",39.2277,-76.8156
931,2152,"Quincy, IL",39.935575,-91.362196
933,3054,SOUTH CHARLESTON WV,38.33641,-81.71327
935,3056,MORGANTOWN WV,39.64931,-79.90042
937,3061,"Marietta, OH",39.405556,-81.412157
939,3064,MICHIGAN CITY IN,41.67189,-86.89446
941,3098,ANCHORAGE AK,61.12034,-149.86514
943,3114,PHILADELPHIA PA,39.92134,-75.14514
945,3115,ELKHART IN,41.62493,-85.90738
947,3124,ASHEVILLE NC,35.5853,-82.52845
949,3132,CHICAGO IL,41.75532,-87.7383
951,3133,HONOLULU HI,21.281129,-157.828148
953,3139,HUNTERSVILLE NC,35.44271,-80.86705
955,3143,SUWANEE GA,34.04429,-84.05464
957,3144,WINSTON-SALEM NC,36.18889,-80.27601
959,3146,MILLEDGEVILLE GA,33.11945,-83.26221
961,3152,WASILLA AK,61.57478,-149.40343
963,3153,GREENSBORO NC,36.11217,-79.75439
965,3157,HILO HI,19.695294,-155.063849
967,3161,LAKE ELSINORE CA,33.69265,-117.34254
969,3165,CLIFTON PARK NY,42.86355,-73.77768
971,3175,CORALVILLE IA,41.6847,-91.60288
973,3194,BRONX NY,40.86568,-73.86268
975,3198,RONKONKOMA NY,40.82842,-73.09927
977,3200,MILWAUKEE WI,42.95965,-87.92478
979,3202,PEARL CITY HI,21.389,-157.953538
981,3203,MARYSVILLE WA,48.14663,-122.18903
983,3204,CLEMMONS NC,36.039,-80.3857
985,3205,LA MESA CA,32.74652,-116.96044
987,3214,PHILADELPHIA PA,39.94911,-75.16309
989,3215,OCEANSIDE CA,33.20858,-117.281
991,3218,SMYRNA TN,35.98017,-86.56345
993,3225,NORRIDGE IL,41.95662,-87.805
995,3226,ASHEVILLE NC,35.5615,-82.6335
997,3246,HONOLULU HI,21.284787,-157.836508
999,3263,BRONX NY,40.83708,-73.88479
1001,3271,BERNALILLO NM,35.32514,-106.56356
1003,3273,BROOKLYN NY,40.650355,-73.958112
1005,3279,HAUPPAUGE NY,40.80743,-73.24238
1007,3291,ANCHORAGE AK,61.22613,-149.74289
1009,3295,WILMINGTON DE,39.78814,-75.54555
1011,3301,FREEPORT NY,40.6561,-73.58788
1013,3305,YONKERS NY,40.98344,-73.827437
1015,3321,WEAVERVILLE NC,35.70415,-82.56537
1017,3326,NASHVILLE TN,36.13491,-86.88903
1019,3327,CHARLOTTE NC,35.17499,-80.80198
1021,3351,JACKSONVILLE NC,34.75472,-77.45997
1023,3353,BROOKLYN NY,40.7009,-73.94121
1025,3365,EDGEWATER MD,38.944532,-76.56223
1027,3367,MOORESVILLE NC,35.594872,-80.863811
1029,3368,BRONX NY,40.826483,-73.860202
1031,3370,SAN DIEGO CA,32.894319,-117.117998
1033,3383,FRANKLIN TN,35.91723,-86.82912
1035,3391,"Flagstaff, AZ",35.208181,-111.610642
1037,3407,HARRISBURG PA,40.279092,-76.821014
1039,3419,CANUTILLO TX,31.912482,-106.586788
1041,3423,CHARLOTTE NC,35.03115,-80.85238
1043,3430,MOUNT VERNON WA,48.43841,-122.34694
1045,3431,MOREHEAD CITY NC,34.7344507,-76.790505
1047,3433,WESTBURY NY,40.75556,-73.58806
1049,3444,JESSUP MD,39.168783,-76.784942
1051,3445,SIMPSONVILLE SC,34.71284,-82.255384
1053,3446,CLEMSON SC,34.817498,-82.817498
1055,3447,KNOXVILLE TN,36.077254,-83.926692
1057,3450,GALLATIN TN,36.378837,-86.463779
1059,3452,GREER SC,34.937722,-82.272969
1061,3455,NEW LENOX IL,41.512739,-87.95589
1063,3457,FONTANA CA,34.075434,-117.43536
1065,3459,INDIO CA,33.738941,-116.21658
1067,3465,BARSTOW CA,34.8507,-117.08187
1069,3468,POMONA CA,34.033215,-117.75324
1071,3471,COLONIAL HEIGHTS VA,37.255018,-77.394027
1073,3472,BOONE NC,36.378837,-86.463779
1075,3473,SAN ANTONIO TX,29.628559,-98.495729
1077,3480,BREA CA,33.913334,-117.89057
1079,3483,COVINGTON TN,35.543288,-89.664166
1081,3485,SUFFOLK VA,36.87778,-76.423335
1083,3487,RALEIGH NC,35.790083,-78.676715
